flow_id,target_bw_mbps,scheduled_flow_start_s,interval_index,absolute_time_s,interval_start_s,interval_end_s,bytes_transferred,bits_per_second,mbps_achieved,retransmits,snd_cwnd_bytes,pmtu,rtt_us,rttvar_us,omitted,cpu_utilization_local_pct,cpu_utilization_remote_pct,congestion_algorithm,max_snd_cwnd_bytes
0,1.01,3.58,41,45.08,41.0,42.0,131072,1048527,1.0485,1,8688,1500,131337,16919,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,0,45.09,0.0,1.0,131072,1048473,1.0485,3,5792,1500,121164,1283,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,29,45.99,29.0,30.0,0,0,0.0,2,5792,1500,128305,14538,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,30,46.07,30.0,31.0,131072,1048557,1.0486,1,5792,1500,122277,3632,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,42,46.08,42.0,43.0,0,0,0.0,3,7240,1500,123567,4658,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,1,46.09,1.0,2.0,0,0,0.0,1,5792,1500,125022,5161,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,30,46.99,30.0,31.0,131072,1048427,1.0484,2,7240,1500,122088,2968,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,31,47.07,31.0,32.0,0,0,0.0,2,2896,1500,121363,2355,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,43,47.08,43.0,44.0,0,0,0.0,3,5792,1500,120876,875,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,2,47.09,2.0,3.0,131072,1048568,1.0486,1,2896,1500,128553,11019,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,31,47.99,31.0,32.0,0,0,0.0,2,4344,1500,126553,10684,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,32,48.07,32.0,33.0,0,0,0.0,3,2896,1500,120591,639,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,44,48.08,44.0,45.0,0,0,0.0,4,7240,1500,120777,992,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,3,48.09,3.0,4.0,0,0,0.0,2,2896,1500,125512,8988,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,32,48.99,32.0,33.0,0,0,0.0,5,1448,1500,122608,4778,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,33,49.07,33.0,34.0,0,0,0.0,2,5792,1500,120607,741,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,45,49.08,45.0,46.0,0,0,0.0,4,2896,1500,126273,9610,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,4,49.09,4.0,5.0,0,0,0.0,1,7240,1500,121967,1725,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,33,49.99,33.0,34.0,131072,1048576,1.0486,2,4344,1500,126145,11344,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,34,50.07,34.0,35.0,0,0,0.0,3,5792,1500,132566,19165,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,46,50.08,46.0,47.0,131072,1048545,1.0485,2,5792,1500,122022,2746,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,5,50.09,5.0,6.0,0,0,0.0,2,8688,1500,127124,12745,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,34,50.99,34.0,35.0,0,0,0.0,3,4344,1500,133497,23763,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,35,51.07,35.0,36.0,0,0,0.0,1,5792,1500,122096,2898,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,47,51.08,47.0,48.0,0,0,0.0,1,7240,1500,144642,27807,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,6,51.09,6.0,7.0,0,0,0.0,4,5792,1500,127304,10628,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,35,51.99,35.0,36.0,0,0,0.0,2,4344,1500,140235,35389,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,36,52.07,36.0,37.0,0,0,0.0,4,2896,1500,128946,16284,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,48,52.08,48.0,49.0,131072,1048648,1.0486,2,2896,1500,134229,22232,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,7,52.09,7.0,8.0,0,0,0.0,2,7240,1500,167699,61036,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,36,52.99,36.0,37.0,0,0,0.0,3,2896,1500,123136,4463,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,37,53.07,37.0,38.0,131072,1048610,1.0486,0,11584,1500,133551,20774,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,49,53.08,49.0,50.0,0,0,0.0,3,2896,1500,125647,10311,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,8,53.09,8.0,9.0,131072,1048560,1.0486,3,7240,1500,133669,21118,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,37,53.99,37.0,38.0,0,0,0.0,0,11584,1500,133177,20339,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,38,54.07,38.0,39.0,0,0,0.0,6,2896,1500,124935,5823,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,50,54.08,50.0,51.0,0,0,0.0,3,5792,1500,120809,1009,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,9,54.09,9.0,10.0,0,0,0.0,3,5792,1500,125750,10157,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,38,54.99,38.0,39.0,131072,1048585,1.0486,6,2896,1500,122807,3770,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,39,55.07,39.0,40.0,0,0,0.0,1,2896,1500,129257,16348,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,51,55.08,51.0,52.0,0,0,0.0,1,5792,1500,133784,23139,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,10,55.09,10.0,11.0,0,0,0.0,2,7240,1500,124153,7682,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,39,55.99,39.0,40.0,0,0,0.0,2,8688,1500,121153,1179,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,40,56.07,40.0,41.0,0,0,0.0,3,1448,1500,128119,14537,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,52,56.08,52.0,53.0,0,0,0.0,4,7240,1500,142811,32586,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,11,56.09,11.0,12.0,131072,1048611,1.0486,1,8688,1500,129078,11699,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,40,56.99,40.0,41.0,0,0,0.0,2,7240,1500,138679,30603,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,41,57.07,41.0,42.0,0,0,0.0,1,1448,1500,122770,4574,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,53,57.08,53.0,54.0,131072,1048595,1.0486,4,2896,1500,122437,3690,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,12,57.09,12.0,13.0,131072,1048591,1.0486,3,2896,1500,130491,17701,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,41,57.99,41.0,42.0,131072,1048500,1.0485,4,2896,1500,122268,3501,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,42,58.07,42.0,43.0,0,0,0.0,5,4344,1500,120801,1173,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,54,58.08,54.0,55.0,0,0,0.0,1,7240,1500,122289,4078,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,13,58.09,13.0,14.0,0,0,0.0,5,1448,1500,123067,5097,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,42,58.99,42.0,43.0,0,0,0.0,3,2896,1500,132986,23322,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,43,59.07,43.0,44.0,131072,1048552,1.0486,1,5792,1500,129957,16719,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,55,59.08,55.0,56.0,131072,1048587,1.0486,3,7240,1500,131424,16719,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,14,59.09,14.0,15.0,0,0,0.0,3,2896,1500,121423,2528,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,43,59.99,43.0,44.0,0,0,0.0,3,2896,1500,144473,40667,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,44,60.07,44.0,45.0,0,0,0.0,5,2896,1500,128577,15362,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,56,60.08,56.0,57.0,0,0,0.0,3,2896,1500,128290,13473,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,15,60.09,15.0,16.0,0,0,0.0,3,1448,1500,128032,15608,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,44,60.99,44.0,45.0,0,0,0.0,1,5792,1500,143165,31297,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,45,61.07,45.0,46.0,0,0,0.0,2,5792,1500,130903,15311,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,57,61.08,57.0,58.0,0,0,0.0,3,2896,1500,129950,17308,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,16,61.09,16.0,17.0,0,0,0.0,3,4344,1500,123821,5544,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,45,61.99,45.0,46.0,0,0,0.0,4,2896,1500,125922,10588,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,46,62.07,46.0,47.0,0,0,0.0,2,1448,1500,130594,16335,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,58,62.08,58.0,59.0,0,0,0.0,3,5792,1500,127441,11661,False,1.2438982381658117,0.0596033946610822,reno,14480.0
3,1.11,44.59,17,62.09,17.0,18.0,0,0,0.0,2,5792,1500,140160,33418,False,1.1115393371074838,0.0314949500179684,reno,8688.0
2,1.04,16.49,46,62.99,46.0,47.0,131072,1048576,1.0486,1,2896,1500,134088,20384,False,1.066944846122149,0.0382156688733938,reno,14480.0
